Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered
,Gavin Marrs,PF,JR,6-11,200,"Ellensburg, WA",,83.50,Expected
,Christian Nitu,PF,SO,6-11,200,"Toronto, ON",,83.50,4/09/2026
,Ty Virgil,SG,FR,6-4,165,"Sacramento, CA",,83.50,4/17/2026
,Joshua Rivera,SF,SR,6-6,198,"Edison, NJ",,83.50,Expected
,Mier Panoam,PG,JR,6-2,185,"Norcross, GA",,83.50,Expected
,Jordan Pope,PG,SR,6-2,165,"Napa, CA",,83.50,4/21/2026
,Donovan Raymond,PF,JR,6-9,205,"Charlotte, NC",,83.28,4/07/2026
,KJ Tenner,PG,SO,5-10,165,"Cordova, TN",,83.28,4/18/2026
,Nico Onyekwere,C,FR,7-1,240,"Glen Head, NY",,83.25,4/08/2026
,Karris Bilal,PG,SO,6-2,180,"Atlanta, GA",,83.25,4/15/2026
,Marcus Wilson,SG,SO,6-2,170,"Albuquerque, NM",,83.25,4/09/2026
,Isaiah Watts,PG,JR,6-3,180,"South Kent, CT",,83.25,4/10/2026
,Ja'Quavis Williford,SG,SO,6-6,180,"Los Angeles, CA",,83.25,4/14/2026
,Richard Brisco,PF,SO,6-7,210,"Roselle, NJ",,83.05,4/07/2026
,Kyran Ratliff,PF,SR,6-8,190,"Shreveport, LA",,83.00,4/13/2026
,Chas Kelley,SG,SR,6-5,180,"Houston, TX",,83.00,4/21/2026
,Hansel Enmanuel,CG,SR,6-4,175,"Kissimmee, FL",,$1.2M,1/14/2026
,Adrian Myers,PF,JR,6-7,185,"Woodstock, VA",,82.75,4/17/2026
,Wilguens Exacte Jr.,SG,SR,6-6,230,"Mexico, ME",,82.67,4/07/2026
,Jordyn Kee,CG,SO,6-4,170,"Fort Lauderdale, FL",,82.50,4/10/2026
,Sadiku Ayo,SF,SR,6-6,210,"Bronx, NY",,82.25,3/30/2026
,Jaiun Simon,SF,RS-SO,6-6,190,"Mableton, GA",,82.25,Expected
,Nigel Burris,SF,SR,6-6,205,"San Jose, CA",,82.25,4/09/2026
,Sultan Adewale,PF,JR,6-7,205,"Saint Louis, MO",,82.25,4/06/2026
,Harun Zrno,SG,FR,6-6,205,Sarajevo,,82.00,4/07/2026
,Jalen Lee,SG,SO,6-4,180,"Mableton, GA",,82.00,4/07/2026
,Jeremiah Nyarko,PF,SR,6-8,205,"Bellflower, CA",,82.00,4/07/2026
,JJ Frakes,SG,FR,6-5,190,"Berrien Springs, MI",,82.00,4/07/2026
,Bowen Hardman,SG,SR,6-3,160,"Cincinnati, OH",,81.80,4/07/2026
,David Tubek,SF,JR,6-8,215,"Glendale, AZ",,81.50,4/10/2026
,Jake Hansen,SG,FR,6-1,170,"Milwaukee, WI",,81.50,4/07/2026
,Jordann Dumont,SF,RS-SO,6-8,190,"Montreal, QC",,81.50,4/15/2026
,William Patterson,C,RS-SO,7-1,220,"Brooklyn, NY",,81.25,4/09/2026
,Cam Amboree,CG,SR,6-2,155,"Pearland, TX",,81.00,4/20/2026
,Micah Handlogten,C,SR,7-0,190,"Huntersville, NC",,81.00,Expected
,Nate Calmese,SG,SR,6-3,170,"Gilbert, AZ",,80.00,4/20/2026
,Karim Rtail,PF,FR,6-8,210,Klaipeda,,,4/07/2026
,Tafara Gapare,PF,SR,6-9,205,"Kent, CT",,,4/07/2026
,Godslove Nwabude,PF,SO,6-9,,"Lanham, MD",,,4/07/2026
,Chendall Weaver,CG,SR,6-3,165,"Mansfield, TX",,,4/21/2026
,Brett Freeman,SG,FR,6-4,175,"Charlotte, NC",,,4/07/2026
,JJ Rembert,PG,SO,5-11,,"Fort Mill, SC",,,4/20/2026
,Max Pikaar,PF,SO,6-11,200,Amsterdam,,,4/21/2026
,Richard Barron,SG,JR,6-5,215,"Chicago, IL",,,Expected
,Mikkel Tyne,CG,JR,5-10,180,"Cumberland, MD",,,4/01/2026
,Derin Saran,PG,JR,6-3,180,"Asheville, NC",,,4/09/2026
,Jonah Funk,PF,FR,6-9,180,"El Paso, IL",,,4/14/2026
,AJ LaBeau,PF,RS-SO,7-0,215,"Boise, ID",,,3/16/2026
,MJ Thomas,SF,SO,6-5,,"Calvert, TX",,,4/07/2026
,Trajan Thompson,SG,FR,6-6,180,"Charlotte, NC",,,4/07/2026
,Trey Campbell,PG,SR,6-4,195,"Cedar Falls, IA",,,4/17/2026
,Kenyon Giles,PG,SR,5-11,165,"Chesapeake, VA",,,4/17/2026
,AJ Smith,SG,SR,6-3,190,"Charlotte, NC",,,4/17/2026
,Nazar Mahmoud,SG,JR,6-5,185,"Leander, TX",,,3/15/2026
,Demari Williams,SG,SR,6-6,210,"Glendale, AZ",,,Expected
,Orlando Horton,PG,JR,5-8,150,"Houston, TX",,,3/21/2026
,Dionjahe Thomas,PF,RS-JR,6-8,236,"Houma, LA",,,Expected
,Isaiah Washington,SG,RS-FR,6-5,175,"Fayetteville, NC",,,3/26/2026
,Cam Thrower,SG,RS-JR,6-3,180,"Studio City, CA",,,3/27/2026
,Karson Templin,PF,JR,6-6,205,"Lucas, TX",,,Expected
,Josh Dixon,PG,FR,6-1,165,"Milton, GA",,,Expected
,Henri Adiassa,C,RS-JR,6-11,240,"Santa Monica, CA",,,3/30/2026
,Max Burton,PF,SR,6-9,230,"Williamston, MI",,,3/30/2026
,Cameron Patterson,SG,RS-FR,6-4,175,"Humble, TX",,,3/30/2026
,KJ Thomas,PG,SO,6-1,175,"Canyon, TX",,,Expected
,TJ Johnson,SF,RS-JR,6-6,195,"Temple, TX",,,Expected
,Adante Holiman,PG,SR,5-9,160,"Mcalester, OK",,,Expected
,Zaon Collins,PG,JR,6-1,165,"Las Vegas, NV",,,Expected
,Javoy Thompson,SF,JR,6-5,195,"Bronx, NY",,,3/31/2026
,Jayden Fort,PF,SO,6-8,210,"Washington, DC",,,4/01/2026
,Josiah Davis,PG,SR,6-1,190,"Scott Depot, WV",,,Expected
,Ja'Corey Robinson,PG,FR,6-6,205,"Topeka, KS",,,4/01/2026
,Quaran McPherson,PG,RS-SR,6-3,180,"Woodstock, CT",,,Expected
,Aaron Powell,PG,SO,6-1,175,"Valley Village, CA",,,4/01/2026
,Ron Jessamy,PF,JR,6-8,200,"Mouth Of Wilson, VA",,,Expected
,Ramone Seals,SF,SO,6-5,190,"Tampa, FL",,,4/01/2026
,Chancellor White
,Karim Rtail,PF,FR,6-8,210,Klaipeda,,,4/07/2026
,Tafara Gapare,PF,SR,6-9,205,"Kent, CT",,,4/07/2026
,Godslove Nwabude,PF,SO,6-9,,"Lanham, MD",,,4/07/2026
,Chendall Weaver,CG,SR,6-3,165,"Mansfield, TX",,,4/21/2026
,Brett Freeman,SG,FR,6-4,175,"Charlotte, NC",,,4/07/2026
,JJ Rembert,PG,SO,5-11,,"Fort Mill, SC",,,4/20/2026
,Max Pikaar,PF,SO,6-11,200,Amsterdam,,,4/21/2026
,Richard Barron,SG,JR,6-5,215,"Chicago, IL",,,Expected
,Mikkel Tyne,CG,JR,5-10,180,"Cumberland, MD",,,4/01/2026
,Derin Saran,PG,JR,6-3,180,"Asheville, NC",,,4/09/2026
,Jonah Funk,PF,FR,6-9,180,"El Paso, IL",,,4/14/2026
,AJ LaBeau,PF,RS-SO,7-0,215,"Boise, ID",,,3/16/2026
,MJ Thomas,SF,SO,6-5,,"Calvert, TX",,,4/07/2026
,Trajan Thompson,SG,FR,6-6,180,"Charlotte, NC",,,4/07/2026
,Trey Campbell,PG,SR,6-4,195,"Cedar Falls, IA",,,4/17/2026
,Kenyon Giles,PG,SR,5-11,165,"Chesapeake, VA",,,4/17/2026
,AJ Smith,SG,SR,6-3,190,"Charlotte, NC",,,4/17/2026
,Nazar Mahmoud,SG,JR,6-5,185,"Leander, TX",,,3/15/2026
,Demari Williams,SG,SR,6-6,210,"Glendale, AZ",,,Expected
,Orlando Horton,PG,JR,5-8,150,"Houston, TX",,,3/21/2026
,Dionjahe Thomas,PF,RS-JR,6-8,236,"Houma, LA",,,Expected
,Isaiah Washington,SG,RS-FR,6-5,175,"Fayetteville, NC",,,3/26/2026
,Cam Thrower,SG,RS-JR,6-3,180,"Studio City, CA",,,3/27/2026
,Karson Templin,PF,JR,6-6,205,"Lucas, TX",,,Expected
,Josh Dixon,PG,FR,6-1,165,"Milton, GA",,,Expected
,Henri Adiassa,C,RS-JR,6-11,240,"Santa Monica, CA",,,3/30/2026
,Max Burton,PF,SR,6-9,230,"Williamston, MI",,,3/30/2026
,Cameron Patterson,SG,RS-FR,6-4,175,"Humble, TX",,,3/30/2026
,KJ Thomas,PG,SO,6-1,175,"Canyon, TX",,,Expected
,TJ Johnson,SF,RS-JR,6-6,195,"Temple, TX",,,Expected
,Adante Holiman,PG,SR,5-9,160,"Mcalester, OK",,,Expected
,Zaon Collins,PG,JR,6-1,165,"Las Vegas, NV",,,Expected
,Javoy Thompson,SF,JR,6-5,195,"Bronx, NY",,,3/31/2026
,Jayden Fort,PF,SO,6-8,210,"Washington, DC",,,4/01/2026
,Josiah Davis,PG,SR,6-1,190,"Scott Depot, WV",,,Expected
,Ja'Corey Robinson,PG,FR,6-6,205,"Topeka, KS",,,4/01/2026
,Quaran McPherson,PG,RS-SR,6-3,180,"Woodstock, CT",,,Expected
,Aaron Powell,PG,SO,6-1,175,"Valley Village, CA",,,4/01/2026
,Ron Jessamy,PF,JR,6-8,200,"Mouth Of Wilson, VA",,,Expected
,Ramone Seals,SF,SO,6-5,190,"Tampa, FL",,,4/01/2026
,Chancellor White,SG,SR,6-5,175,"Richmond, TX",,,Expected
,Shaheed Solebo,SG,RS-FR,6-4,205,"Chicago, IL",,,4/02/2026
,Paul Mbiya,C,FR,6-11,240,Kinshasa,,,Expected
,Seth Hubbard,CG,SR,6-4,175,"Alpharetta, GA",,,4/06/2026
,Xander Wedlow,C,SO,6-9,225,"Detroit, MI",,,Expected
,CJ Anthony,PG,SR,5-11,180,"Columbus, OH",,,4/06/2026
,Christian Alston,SF,SO,6-5,165,"Memphis, TN",,,4/06/2026
,CJ O'Hara,SG,SO,6-4,180,"Minneapolis, MN",,,4/07/2026
,Darkaun King,PF,SO,6-6,230,"Dallas, TX",,,4/07/2026
,Sharod Barnes,SG,FR,6-2,170,"West Bloomfield, MI",,,4/07/2026
,Jakel Powell,CG,-,6-5,170,"Burlington, NC",,,4/07/2026
,Jaxon Prunty,SG,RS-FR,6-5,170,"Charlotte, NC",,,4/07/2026
