Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
,Malique Ewin,PF,SR,6-10,220.0,"Lilburn, GA",,93.05,Expected,,,157.0,Arkansas,4.38,1.39,5.77,1408.0,3.31,2.09,5.41,130.2,101.5,28.7,61.03500761035008,83.21678321678323,78.08988764044943,89.44954128440367,74.25360756908627,Full Metrics,Tier 1
,Sencire Harris,SG,RS-JR,6-3,160.0,"Akron, OH",,93.02,,4/07/2026,,489.0,Cincinnati,-0.18,3.83,3.65,918.0,0.25,2.11,2.36,105.1,89.8,15.3,98.17351598173516,37.66233766233767,61.075441412520064,68.96024464831804,71.2441157880302,Full Metrics,Tier 1
,Darrion Sutton,SF,SO,6-8,182.0,"Saint Louis, MO",,92.96,,4/07/2026,,2062.0,Missouri State,-0.17,-0.42,-0.58,664.0,0.08,0.91,0.98,105.8,115.0,-9.2,33.48554033485541,37.76223776223777,27.126805778491168,31.498470948012233,32.98490737240167,Full Metrics,Tier 1
,Tre Holloman,PG,SR,6-2,175.0,"Saint Paul, MN",,92.91,,4/17/2026,,539.0,NC State,2.46,0.95,3.4,1429.0,2.33,1.16,3.49,118.4,101.7,16.7,54.337899543378995,64.03596403596404,59.06902086677367,71.10091743119266,60.22309261437624,Full Metrics,Tier 1
,Miles Goodman,PF,SO,6-11,230.0,"Seattle, WA",,92.79,Expected,,,2855.0,UT Arlington,-3.95,0.76,-3.19,615.0,-3.53,0.12,-3.41,88.8,101.0,-12.2,51.44596651445967,0.0,6.179775280898873,26.911314984709477,25.851038909670066,Full Metrics,Tier 1
,Denver Anglin,SG,SR,6-2,185.0,"Montclair, NJ",,92.34,Expected,,,2350.0,Iona,-0.56,-0.74,-1.29,1501.0,-0.74,-1.39,-2.13,101.4,106.8,-5.5,28.614916286149167,33.86613386613387,21.428571428571423,37.15596330275229,29.771608762120266,Full Metrics,Tier 1
,Prince Aligbe,SF,SR,6-7,225.0,"Minneapolis, MN",,92.20,,4/21/2026,,2318.0,Southern Illinois,-1.89,0.67,-1.22,1116.0,-2.05,-0.36,-2.42,99.4,99.6,-0.2,50.076103500761036,20.57942057942058,21.990369181380416,45.25993883792049,36.36236120712372,Full Metrics,Tier 1
,Jace Posey,SG,RS-SO,6-4,190.0,"Houston, TX",,92.04,Expected,,,1389.0,TCU,0.9,-0.01,0.9,526.0,-1.01,-0.05,-1.07,117.2,104.0,13.2,39.726027397260275,48.45154845154846,39.004815409309785,65.7492354740061,45.6666464747541,Full Metrics,Tier 1
,Isaiah Coleman,SG,JR,6-5,180.0,"Fredericksburg, VA",,91.97,,4/08/2026,,1411.0,Oklahoma State,-0.08,0.92,0.84,1176.0,-0.62,0.83,0.21,110.7,105.6,5.0,53.881278538812786,38.66133866133867,38.523274478330656,53.21100917431192,46.9041523526727,Full Metrics,Tier 1
,Tyler Jackson,SG,FR,6-2,152.0,"Baltimore, MD",,91.45,,4/07/2026,,2229.0,Eastern Kentucky,-0.11,-0.88,-0.99,512.0,0.03,0.45,0.48,104.7,119.0,-14.3,26.484018264840188,38.36163836163836,23.83627608346709,23.700305810397552,28.506317984598716,Full Metrics,Tier 1
,Jayden Pierre,PG,SR,6-2,165.0,"Elizabeth, NJ",,91.44,,4/20/2026,,283.0,TCU,2.54,2.16,4.7,1840.0,2.45,1.18,3.63,113.3,93.0,20.2,72.75494672754948,64.83516483516485,69.5024077046549,76.4525993883792,70.67914134899887,Full Metrics,Tier 1
,Jakai Newton,SG,JR,6-4,190.0,"Covington, GA",,91.31,Expected,,,2103.0,Georgia State,-1.11,0.45,-0.66,580.0,-1.33,0.13,-1.2,95.6,107.5,-11.9,46.727549467275495,28.371628371628375,26.484751203852326,27.370030581039753,35.18638170774372,Full Metrics,Tier 1
,Ryan Agarwal,SG,SR,6-6,190.0,"Coppell, TX",,91.26,,4/07/2026,,1305.0,Stanford,0.35,0.72,1.07,1215.0,-0.92,0.76,-0.16,111.5,102.7,8.8,50.83713850837139,42.95704295704296,40.36918138041733,59.02140672782874,48.00116342786707,Full Metrics,Tier 1
,Assane Diop,PF,JR,6-10,190.0,"Denver, CO",,90.96,,4/08/2026,,2212.0,San Diego,-0.75,-0.18,-0.93,828.0,-0.04,-0.26,-0.3,102.0,113.1,-11.1,37.138508371385086,31.968031968031973,24.317817014446224,28.593272171253822,31.999965569139345,Full Metrics,Tier 1
,Aaron Clark,SG,JR,6-6,195.0,"Easton, PA",,90.56,,4/07/2026,,1658.0,Pepperdine,0.9,-0.61,0.29,1714.0,1.26,0.01,1.27,101.5,112.7,-11.2,30.593607305936075,48.45154845154846,34.1091492776886,28.44036697247706,35.438214936670825,Full Metrics,Tier 1
